  PID TTY      STAT   TIME COMMAND
29035 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
29037 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29044 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
29078 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
29079 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
29089 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29096 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29135 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29137 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29171 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29172 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29189 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29190 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29208 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29209 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29223 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29224 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29238 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29239 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29285 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29286 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
29301 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
29305 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31181 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31185 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31190 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31192 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31197 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31198 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31200 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
